trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",25,0,-107.49568234627576,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.5}",25,0,-148.6012103927779,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.75, 'e': 0.3333333333333333}",30,0,-22.301448567045004,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.25}",20,14,-7.776254447153526,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.75, 'e': 0.2}",30,0,3.600482731220473,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.75, 'e': 0.16666666666666666}",25,15,5.394151997850489,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.75, 'e': 0.14285714285714285}",20,0,1.6269037886412667,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.125}",20,8,19.26488297373419,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.75, 'e': 0.1111111111111111}",25,12,23.477997426346775,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.75, 'e': 0.1}",35,25,18.82459911802698,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.75, 'e': 0.09090909090909091}",30,18,25.373957984495814,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.75, 'e': 0.08333333333333333}",20,0,5.930497632254529,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.07692307692307693}",20,12,4.6264518150533895,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.75, 'e': 0.07142857142857142}",25,0,9.93366633010826,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.06666666666666667}",25,13,-20.976377356720704,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.75, 'e': 0.0625}",20,14,11.003599689030299,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.75, 'e': 0.058823529411764705}",25,16,6.7031148864099155,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.75, 'e': 0.05555555555555555}",25,1,-5.330410808201447,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 0}",1
19,False,"{'a': 0.75, 'e': 0.05263157894736842}",25,17,15.015913417915339,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
