trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.82972833998325,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,12,-30.6477535563458,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.063533264523,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-212.05769220488375,"{0: 17, 1: 8, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-19.273837297974666,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.00753107529826,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.38144942741184,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.84180078389356,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.65291599653023,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.52049493395234,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.17776686073617,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.41054648332194,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.50664890863885,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-90.65640253582532,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.89814498800783,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.18929789938986,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.57662852807935,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-80.98400301009735,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-288.2790957948863,"{0: 12, 1: 5, 2: 7, 3: 2, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.57125770536777,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-97.70324425553702,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-154.71985564462696,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
